Timestamp,Rainfall (mm),station_number,station_name,station_no,latitude,longitude,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
01-Jun-18,11.8,205724,Dallachy No 2,205724,57.66404417,-3.071018416,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,42.8,327234,Dalmarnock STW,327234,55.8374507,-4.216965486,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,58.2,14960,Dalnamein,14960,56.79925858,-4.053453634,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,47.8,302120,Dalwhinnie,302120,56.94069555,-4.238639574,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,70.6,341338,Deanston RG,341338,56.19223931,-4.077181451,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,24.8,234198,Delnashaugh,234198,57.39970792,-3.357845061,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,76.6,454765,Derry Lodge,454765,57.02065155,-3.58738853,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,48.6,335582,Deskry Shiel,335582,57.18037959,-2.983867766,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,24.4,115329,Dingwall,115329,57.59992025,-4.446997097,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,77,133077,Dippen,133077,55.58274848,-5.496523588,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,27,115217,Dipple,115217,57.61125291,-3.115476523,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,47.4,234202,Dosmucheran,234202,57.59587318,-5.005770119,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,49.6,464646,Drum,464646,56.18484641,-3.532323684,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,132,115557,Drumjohn,115557,55.24992466,-4.32205779,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,24.8,377134,Drummore of Cantray,377134,57.48325079,-4.006176025,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,49.6,15216,Dunbar,15216,56.00371307,-2.52752897,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
01-Jun-18,73.4,530175,Dundreggan Rain Gauge,530175,57.19161541,-4.767634199,1.27965587,0,1.98562753,18.66842105,41.32864372,0,7.054757085,1.576315789,28.10657895
